tconst,primaryTitle,title,region,actor1,actor2,actor3,actor4,actor5,actress1,actress2,actress3,actress4,actress5,director1,director2,writer1,writer2,writer3,originalTitle,genre1,genre2,genre3,original_title,original_language,overview,origin_country,poster_path,tmdb_id
tt0111161,The Shawshank Redemption,Les Évadés,FR,Morgan Freeman,Bob Gunton,William Sadler,,,,,,,,Frank Darabont,,Stephen King,,,The Shawshank Redemption,Drama,,,The Shawshank Redemption,en,"En 1947, Andy Dufresne, un jeune banquier, est condamné à la prison à vie pour le meurtre de sa femme et de son amant. Ayant beau clamer son innocence, il est emprisonné à Shawshank, le pénitencier le plus sévère de l'État du Maine. Il y fait la rencontre de Red, un noir désabusé, détenu depuis vingt ans. Commence alors une grande histoire d'amitié entre les deux hommes...",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/xqfTE9FjwD5vS1A6QnyoMdPQUvh.jpg,278.0
tt0468569,The Dark Knight,The Dark Knight : Le Chevalier noir,FR,Heath Ledger,Aaron Eckhart,Michael Caine,,,,,,,,Christopher Nolan,,Jonathan Nolan,David S. Goyer,Bob Kane,The Dark Knight,Action,Crime,Drama,The Dark Knight,en,"La suite de Batman Begins, The Dark Knight, le réalisateur Christopher Nolan et l'acteur Christian Bale, qui endosse à nouveau le rôle de Batman/Bruce Wayne dans sa guerre permanente contre le crime. Avec l'aide du Lieutenant de Police Jim Gordon et du Procureur Harvey Dent, Batman entreprend de démanteler définitivement les organisations criminelles de Gotham. L'association s'avère efficace, mais le trio se heurte bientôt à un nouveau génie du crime, plus connu sous le nom du Joker, qui va plonger Gotham dans l'anarchie et pousser Batman à la limite entre héros et assassin. Heath Ledger interprète Le Joker : le méchant suprême et Aaron Eckhart joue le rôle de Dent. Maggie Gyllenhaal complète le casting en tant que Rachel Dawes. De retour après Batman Begins, Gary Oldman est à nouveau Gordon, Michael Caine interprète Alfred, et Morgan Freeman est Lucius Fox.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/pyNXnq8QBWoK3b37RS6C3axwUOy.jpg,155.0
tt1375666,Inception,Inception,FR,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,,,,,,,,Christopher Nolan,,,,,Inception,Action,Adventure,Sci-Fi,Inception,en,"Dom Cobb est un voleur expérimenté, le meilleur dans l'art dangereux de l'extraction, voler les secrets les plus intimes enfouis au plus profond du subconscient durant une phase de rêve, lorsque l'esprit est le plus vulnérable. Les capacités de Cobb ont fait des envieux dans le monde tourmenté de l'espionnage industriel alors qu'il devient fugitif en perdant tout ce qu'il a un jour aimé. Une chance de se racheter lui est alors offerte. Une ultime mission grâce à laquelle il pourrait retrouver sa vie passée mais uniquement s'il parvient à accomplir l'impossible inception.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/aej3LRUga5rhgkmRP6XMFw3ejbl.jpg,27205.0
tt0137523,Fight Club,Fight Club,FR,Edward Norton,Meat Loaf,Zach Grenier,,,,,,,,David Fincher,,Chuck Palahniuk,Jim Uhls,,Fight Club,Drama,,,Fight Club,en,"Le narrateur, sans identité précise, vit seul, travaille seul, dort seul, mange seul ses plateaux‐repas pour une personne comme beaucoup d’autres personnes seules qui connaissent la misère humaine, morale et sexuelle. C’est pourquoi il va devenir membre du Fight club, un lieu clandestin où il va pouvoir retrouver sa virilité, l’échange et la communication. Ce club est dirigé par Tyler Durden, une sorte d’anarchiste entre gourou et philosophe qui prêche l’amour de son prochain.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/jSziioSwPVrOy9Yow3XhWIBDjq1.jpg,550.0
tt0109830,Forrest Gump,Forrest Gump,FR,Gary Sinise,,,,,Robin Wright,Sally Field,,,,Robert Zemeckis,,Winston Groom,Eric Roth,,Forrest Gump,Drama,Romance,,Forrest Gump,en,"Forrest Gump est le symbole d’une époque, un candide dans une Amérique qui a perdu son innocence. Merveilleusement interprété par Tom Hanks, Forrest vit une série d’aventures, de l’état d’handicapé physique à celui de star du football, de héros du Vietnam au roi de la crevette, des honneurs de la Maison Blanche au bonheur d’une grande histoire d’amour. Son cœur dépasse les limites de son Q.I.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/A0Th0x8QIzP0njrFAJnYQ5ouIoB.jpg,13.0
tt0110912,Pulp Fiction,Pulp Fiction,FR,Samuel L. Jackson,Bruce Willis,,,,Uma Thurman,,,,,Quentin Tarantino,,Roger Avary,,,Pulp Fiction,Crime,Drama,,Pulp Fiction,en,"L’odyssée sanglante et burlesque de petits malfrats dans la jungle d’Hollywood : Deux petits tueurs, un dangereux gangster marié à une camée, un boxeur roublard, des prêteurs sur gages sadiques, un caïd élégant et dévoué, un dealer bon mari et deux tourtereaux à la gâchette facile.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/4TBdF7nFw2aKNM0gPOlDNq3v3se.jpg,680.0
tt0133093,The Matrix,Matrix,FR,Laurence Fishburne,Hugo Weaving,,,,Carrie-Anne Moss,,,,,Lana Wachowski,Lilly Wachowski,,,,The Matrix,Action,Sci-Fi,,The Matrix,en,"Programmeur anonyme dans un service administratif le jour, Thomas Anderson devient Neo la nuit venue. Sous ce pseudonyme, il est l’un des pirates les plus recherchés du cyber‐espace. À cheval entre deux mondes, Neo est assailli par d’étranges songes et des messages cryptés provenant d’un certain Morpheus. Celui‐ci l’exhorte à aller au‐delà des apparences et à trouver la réponse à la question qui hante constamment ses pensées : qu’est‐ce que la Matrice ? Nul ne le sait, et aucun homme n’est encore parvenu à en percer les défenses. Mais Morpheus est persuadé que Neo est l’Élu, le libérateur mythique de l’humanité annoncé selon la prophétie. Ensemble, ils se lancent dans une lutte sans retour contre la Matrice et ses terribles agents…",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/pEoqbqtLc4CcwDUDqxmEDSWpWTZ.jpg,603.0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Le Seigneur des anneaux : La Communauté de l'anneau,FR,Ian McKellen,Orlando Bloom,Sean Bean,,,,,,,,Peter Jackson,,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,The Lord of the Rings: The Fellowship of the Ring,Action,Adventure,Drama,The Lord of the Rings: The Fellowship of the Ring,en,"Le jeune et timide Hobbit, Frodon Sacquet, hérite d'un anneau. Bien loin d'être une simple babiole, il s'agit de l'Anneau Unique, un instrument de pouvoir absolu qui permettrait à Sauron, le Seigneur des ténèbres, de régner sur la Terre du Milieu et de réduire en esclavage ses peuples. À moins que Frodon, aidé d'une Compagnie constituée de Hobbits, d'Hommes, d'un Magicien, d'un Nain, et d'un Elfe, ne parvienne à emporter l'Anneau à travers la Terre du Milieu jusqu'à la Crevasse du Destin, lieu où il a été forgé, et à le détruire pour toujours. Un tel périple signifie s'aventurer très loin en Mordor, les terres du Seigneur des ténèbres, où est rassemblée son armée d'Orques maléfiques... La Compagnie doit non seulement combattre les forces extérieures du mal mais aussi les dissensions internes et l'influence corruptrice qu'exerce l'Anneau lui-même.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/5OPg6M0yHr21Ovs1fni2H1xpKuF.jpg,120.0
tt0068646,The Godfather,Le Parrain,FR,Al Pacino,James Caan,,,,Diane Keaton,,,,,Francis Ford Coppola,,Mario Puzo,,,The Godfather,Crime,Drama,,The Godfather,en,"La Seconde Guerre mondiale vient de s'achever. À New York, le « parrain » Don Corleone, l'un des chefs respectés de la mafia, se sent vieillir. Il refuse de s'adapter à son temps et de se lancer, comme ses pairs, dans le trafic de drogue. Une frilosité qui entrave la bonne marche des affaires des autres « familles » et qui lui vaut d'être la cible d'un attentat. Don Corleone survit à ses blessures, mais reste très diminué. Mike, son plus jeune fils, qui jusque-là se tenait à l'écart des affaires de son père, devient le plus dévoué de ses héritiers. Plus efficace que ses frères, Sonny et Fredo, il venge son père et organise l'élimination de ses adversaires…",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/wnDNKCeBQzioXYQrXcSyrmRHVxf.jpg,238.0
tt0816692,Interstellar,Interstellar,FR,,,,,,Anne Hathaway,Jessica Chastain,Mackenzie Foy,,,Christopher Nolan,,Jonathan Nolan,,,Interstellar,Adventure,Drama,Sci-Fi,Interstellar,en,"Dans un futur proche, face à une Terre exsangue, un groupe d’explorateurs utilise un vaisseau interstellaire pour franchir un trou de ver permettant de parcourir des distances jusque‐là infranchissables. Leur but : Trouver un nouveau foyer pour l’humanité.",US,https://image.tmdb.org/t/p/w600_and_h900_bestv2/1pnigkWWy8W032o9TKDneBa3eVK.jpg,157336.0
